sim_time_s,wall_ahead,wall_left,wall_front_right,wall_right,left_density,center_density,right_density,mean_right,target_visible,target_direction,left_velocity,right_velocity
7.84,False,False,False,False,0.01873,0.01042,0.01042,197.774,False,,3.0,3.0
7.872,False,False,False,False,0.01879,0.01042,0.01042,198.042,False,,3.0,3.0
7.904,False,False,False,False,0.01891,0.01042,0.01042,198.176,False,,3.0,3.0
7.936,False,False,False,False,0.01891,0.01042,0.01042,198.445,False,,3.0,3.0
7.968,False,False,False,False,0.01904,0.01042,0.01042,198.579,False,,3.0,3.0
8.0,False,False,False,False,0.01897,0.01042,0.01042,198.847,False,,3.0,3.0
8.032,False,False,False,False,0.01879,0.01042,0.01042,198.982,False,,3.0,3.0
8.064,False,False,False,False,0.01891,0.01042,0.01042,199.25,False,,3.0,3.0
8.096,False,False,False,False,0.01897,0.01042,0.01042,199.384,False,,3.0,3.0
8.128,False,False,False,False,0.01904,0.01042,0.01042,199.593,False,,3.0,3.0
8.16,False,False,False,False,0.0191,0.01042,0.01042,199.787,False,,3.0,3.0
8.192,False,False,False,False,0.01928,0.01042,0.01042,199.921,False,,3.0,3.0
8.224,False,False,False,False,0.0191,0.01042,0.01042,200.19,False,,3.0,3.0
8.256,False,False,False,False,0.0191,0.01042,0.01042,200.324,False,,3.0,3.0
8.288,False,False,False,False,0.01935,0.01042,0.01042,200.592,False,,3.0,3.0
8.32,False,False,False,False,0.01904,0.01042,0.01042,200.727,False,,3.0,3.0
8.352,False,False,False,False,0.01928,0.01042,0.01042,200.995,False,,3.0,3.0
8.384,False,False,False,False,0.01935,0.01042,0.01042,201.129,False,,3.0,3.0
8.416,False,False,False,False,0.01761,0.00521,0.00521,201.275,False,,3.0,3.0
8.448,False,False,False,False,0.01773,0.00521,0.00521,201.43,False,,3.0,3.0
8.48,False,False,False,False,0.01786,0.00521,0.00521,201.677,False,,3.0,3.0
8.512,False,False,False,False,0.01755,0.00521,0.00521,201.819,False,,3.0,3.0
8.544,False,False,False,False,0.01761,0.00521,0.00521,201.971,False,,3.0,3.0
8.576,False,False,False,False,0.01742,0.00521,0.00521,202.221,False,,3.0,3.0
8.608,False,False,False,False,0.01736,0.00521,0.00521,202.363,False,,3.0,3.0
8.64,False,False,False,False,0.01742,0.00521,0.00521,202.508,False,,3.0,3.0
8.672,False,False,False,False,0.0173,0.00521,0.00521,202.657,False,,3.0,3.0
8.704,False,False,False,False,0.016,0.00521,0.00521,202.911,False,,3.0,3.0
8.736,False,False,False,False,0.0173,0.00521,0.00521,203.053,False,,3.0,3.0
8.768,False,False,False,False,0.01718,0.00521,0.00521,203.198,False,,3.0,3.0
8.8,False,False,False,False,0.01711,0.00521,0.00521,203.448,False,,3.0,3.0
8.832,False,False,False,False,0.01594,0.00521,0.00521,203.593,False,,3.0,3.0
8.864,False,False,False,False,0.01625,0.00521,0.00521,203.742,False,,3.0,3.0
8.896,False,False,False,False,0.01736,0.00521,0.00521,203.996,False,,3.0,3.0
8.928,False,False,False,False,0.016,0.00521,0.00521,204.138,False,,3.0,3.0
8.96,False,False,False,False,0.016,0.00521,0.00521,204.291,False,,3.0,3.0
8.992,False,False,False,False,0.01569,0.00521,0.00521,204.44,False,,3.0,3.0
9.024,False,False,False,False,0.01575,0.00521,0.00521,204.681,False,,3.0,3.0
9.056,False,False,False,False,0.01587,0.00521,0.00521,204.845,False,,3.0,3.0
9.088,False,False,False,False,0.01569,0.00521,0.00521,204.98,False,,3.0,3.0
9.12,False,False,False,False,0.01581,0.00521,0.00521,205.22,False,,3.0,3.0
9.152,False,False,False,False,0.01556,0.00521,0.00521,205.384,False,,3.0,3.0
9.184,False,False,False,False,0.01556,0.00521,0.00521,205.523,False,,3.0,3.0
9.216,False,False,False,False,0.01544,0.00521,0.00521,205.68,False,,3.0,3.0
9.248,False,False,False,False,0.01544,0.00521,0.00521,205.928,False,,3.0,3.0
9.28,False,False,False,False,0.01525,0.00521,0.00521,206.071,False,,3.0,3.0
9.312,False,False,False,False,0.01525,0.00521,0.00521,206.224,False,,3.0,3.0
9.344,False,False,False,False,0.01513,0.00521,0.00521,206.476,False,,3.0,3.0
9.376,False,False,False,False,0.01513,0.00521,0.00521,206.622,False,,3.0,3.0
9.408,False,False,False,False,0.01141,0.00521,0.00521,206.764,False,,3.0,3.0
9.44,False,False,False,False,0.01494,0.00521,0.00521,206.916,False,,3.0,3.0
9.472,False,False,False,False,0.01469,0.00521,0.00521,207.16,False,,3.0,3.0
9.504,False,False,False,False,0.01482,0.00521,0.00521,207.312,False,,3.0,3.0
9.536,False,False,False,False,0.01091,0.00521,0.00521,207.461,False,,3.0,3.0
9.568,False,False,False,False,0.01457,0.00521,0.00521,207.698,False,,3.0,3.0
9.6,False,False,False,False,0.01476,0.00521,0.00521,207.851,False,,3.0,3.0
9.632,False,False,False,False,0.01438,0.00521,0.00521,207.994,False,,3.0,3.0
9.664,False,False,False,False,0.01438,0.00521,0.00521,208.249,False,,3.0,3.0
9.696,False,False,False,False,0.01327,0.00521,0.00521,208.399,False,,3.0,3.0
9.728,False,False,False,False,0.01327,0.00521,0.00521,208.544,False,,3.0,3.0
9.76,False,False,False,False,0.01035,0.00521,0.00521,208.694,False,,3.0,3.0
9.792,False,False,False,False,0.01042,0.00521,0.00521,208.95,False,,3.0,3.0
9.824,False,False,False,False,0.01339,0.00521,0.00521,209.092,False,,3.0,3.0
9.856,False,False,False,False,0.01296,0.00521,0.00521,209.242,False,,3.0,3.0
9.888,False,False,False,False,0.01302,0.00521,0.00521,209.471,False,,3.0,3.0
9.92,False,False,False,False,0.00998,0.00521,0.00521,209.638,False,,3.0,3.0
9.952,False,False,False,False,0.01004,0.00521,0.00521,209.763,False,,3.0,3.0
9.984,False,False,False,False,0.01283,0.00521,0.00521,209.896,False,,3.0,3.0
10.016,False,False,False,False,0.01277,0.00521,0.00521,210.149,False,,3.0,3.0
10.048,False,False,False,False,0.0124,0.00521,0.00521,210.275,False,,3.0,3.0
10.08,False,False,False,False,0.01228,0.00521,0.00521,210.425,False,,3.0,3.0
10.112,False,False,False,False,0.0093,0.00521,0.00521,210.661,False,,3.0,3.0
10.144,False,False,False,False,0.0093,0.00521,0.00521,210.787,False,,3.0,3.0
10.176,False,False,False,False,0.00918,0.00521,0.00521,210.936,False,,3.0,3.0
10.208,False,False,False,False,0.00899,0.00521,0.00521,211.165,False,,3.0,3.0
10.24,False,False,False,False,0.00899,0.00521,0.00521,211.296,False,,3.0,3.0
10.272,False,False,False,False,0.00887,0.00521,0.00521,211.433,False,,3.0,3.0
10.304,False,False,False,False,0.00967,0.00521,0.00521,211.564,False,,3.0,3.0
10.336,False,False,False,False,0.00843,0.00521,0.00521,211.819,False,,3.0,3.0
10.368,False,False,False,False,0.00942,0.00521,0.00521,211.935,False,,3.0,3.0
10.4,False,False,False,False,0.00825,0.00521,0.00521,212.058,False,,3.0,3.0
